Program ID,Broad Field,Field,Institution Name,Program Name,Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty (2006),Female Faculty as a Percent of Total Core and New Faculty (2006),Non-Asian Minority Students as a Percent of Total Domestic Students (Fall 2005),Female Students as a Percent of Total Students (Fall 2005),International Students as a Percent of Total Students (Fall 2005)
20047195,Agricultural Sciences,Plant Sciences,Michigan State University,Plant Pathology,9.1%,23.1%,28.6%,77.8%,11.1%
20024370,Agricultural Sciences,Plant Sciences,Mississippi State University,Agronomy (degree: PhD in Agricultural Sciences),5%,4.5%,0%,43.8%,81.3%
20024503,Agricultural Sciences,Plant Sciences,Mississippi State University,Horticulture (degree: PhD in Agricultural Sciences),6.3%,26.3%,0%,28.6%,71.4%
20024590,Agricultural Sciences,Plant Sciences,Mississippi State University,Weed Science (degree: PhD in Agricultural Sciences),11.1%,0%,0%,40%,10%
20060211,Agricultural Sciences,Plant Sciences,Montana State University - Bozeman,Plant Science,0%,13.3%,0%,37.5%,75%
20062293,Agricultural Sciences,Plant Sciences,New Mexico State University Main Campus,Plant and Environmental Sciences,8.7%,19.2%,22.2%,22.7%,37.5%
20041311,Agricultural Sciences,Plant Sciences,North Carolina State University,Botany,0%,52.6%,0%,50%,36.4%
20041382,Agricultural Sciences,Plant Sciences,North Carolina State University,Crop Science,5.9%,18%,0%,30.8%,41%
20041476,Agricultural Sciences,Plant Sciences,North Carolina State University,Horticultural Science,3.6%,20.7%,0%,44.4%,44.4%
20041612,Agricultural Sciences,Plant Sciences,North Carolina State University,Plant Pathology,3.2%,26.7%,5.6%,70.8%,20.8%
20026912,Agricultural Sciences,Plant Sciences,North Dakota State University Main Campus,Plant Pathology,9.1%,9.1%,0%,16.7%,75%
20026925,Agricultural Sciences,Plant Sciences,North Dakota State University Main Campus,Plant Sciences,8.3%,0%,0%,44%,88%
20029090,Agricultural Sciences,Plant Sciences,Ohio State University Main Campus,Horticulture and Crop Science,6.7%,13.3%,25%,48%,48%
20029281,Agricultural Sciences,Plant Sciences,Ohio State University Main Campus,Plant Pathology,0%,12.5%,0%,33.3%,75%
20070612,Agricultural Sciences,Plant Sciences,Ohio State University Main Campus,Plant Cellular and Molecular Biology Program,0%,20%,0%,46.2%,76.9%
20013815,Agricultural Sciences,Plant Sciences,Ohio University Main Campus,Environmental and Plant Biology,0%,23.1%,0%,41.2%,58.8%
20041939,Agricultural Sciences,Plant Sciences,Oklahoma State University Main Campus,Crop Science,0%,11.1%,0%,10.5%,63.2%
20042080,Agricultural Sciences,Plant Sciences,Oklahoma State University Main Campus,Plant Pathology,0%,33.3%,50%,40%,80%
20018551,Agricultural Sciences,Plant Sciences,Oregon State University,Crop Science,22.2%,20%,0%,72.7%,36.4%
20018645,Agricultural Sciences,Plant Sciences,Oregon State University,Horticulture,9.1%,39.1%,0%,40%,60%
20018548,Agricultural Sciences,Plant Sciences,Oregon State University,Botany and Plant Pathology,0%,20%,4.8%,45.5%,4.5%
20063250,Agricultural Sciences,Plant Sciences,Oregon State University,Rangeland Ecology and Management,0%,10%,0%,28.6%,0%
20031486,Agricultural Sciences,Plant Sciences,Penn State University,Horticulture,5.9%,21.1%,0%,30%,50%
20031703,Agricultural Sciences,Plant Sciences,Penn State University,Plant Biology,0%,16.7%,5.3%,53.2%,57.4%
20031716,Agricultural Sciences,Plant Sciences,Penn State University,Plant Pathology,0%,15%,0%,50%,57.1%
20055608,Agricultural Sciences,Plant Sciences,Purdue University Main Campus,Agronomy- Crops & Genetic,6.3%,12.5%,0%,21.4%,57.1%
20055695,Agricultural Sciences,Plant Sciences,Purdue University Main Campus,Botany & Plant Pathology,4.5%,21.7%,0%,21.4%,50%
20055912,Agricultural Sciences,Plant Sciences,Purdue University Main Campus,Horticulture,5.3%,10%,22.2%,38.7%,67.7%
20012764,Agricultural Sciences,Plant Sciences,Rutgers The State University of New Jersey New Brunswick Campus,Plant Biology,2.5%,24.4%,4.3%,47.5%,35%
20040561,Agricultural Sciences,Plant Sciences,Southern Illinois University Carbondale,Plant Biology,0%,33.3%,0%,47.1%,29.4%
20021755,Agricultural Sciences,Plant Sciences,Texas A & M University,Horticulture,11.5%,18.5%,0%,46.7%,60%
20021768,Agricultural Sciences,Plant Sciences,Texas A & M University,Plant Pathology,6.3%,12.5%,0%,34.8%,56.5%
20021797,Agricultural Sciences,Plant Sciences,Texas A & M University,Agronomy,5.3%,0%,7.7%,14.3%,7.1%
20022262,Agricultural Sciences,Plant Sciences,Texas A & M University,Plant Breeding,14.3%,0%,14.3%,20%,53.3%
20034250,Agricultural Sciences,Plant Sciences,University of Arizona,Plant Pathology,0%,33.3%,25%,55.6%,72.2%
20034263,Agricultural Sciences,Plant Sciences,University of Arizona,Plant Science,5.9%,33.3%,0%,52%,52%
20013747,Agricultural Sciences,Plant Sciences,University of Arkansas Main Campus,Plant Science,0%,0%,0%,28.6%,57.1%
20061171,Agricultural Sciences,Plant Sciences,University of California-Berkeley,Plant Biology,0%,37%,12.1%,67.4%,23.3%
20067382,Agricultural Sciences,Plant Sciences,University of California-Davis,Plant Biology,6.9%,20.3%,2.5%,52.9%,28.6%
20067395,Agricultural Sciences,Plant Sciences,University of California-Davis,Plant Pathology,0%,21.4%,0%,50%,54.2%
20048916,Agricultural Sciences,Plant Sciences,University of California-Riverside,Plant Biology,6.5%,34.4%,11.1%,59%,38.5%
20048929,Agricultural Sciences,Plant Sciences,University of California-Riverside,Plant Pathology,0%,20%,20%,31.3%,62.5%
20024286,Agricultural Sciences,Plant Sciences,University of Connecticut,Plant Science PhD,16.7%,27.8%,0%,43.8%,75%
20012308,Agricultural Sciences,Plant Sciences,University of Delaware,Plant and Soil Sciences,0%,25%,0%,46.4%,39.3%
20012913,Agricultural Sciences,Plant Sciences,University of Florida,Agronomy,6.3%,9.4%,0%,31.8%,50%
20012968,Agricultural Sciences,Plant Sciences,University of Florida,Botany,0%,13.3%,10%,53.1%,37.5%
20013190,Agricultural Sciences,Plant Sciences,University of Florida,Horticultural Science,10.6%,14.9%,7.7%,36.7%,56.7%
20013417,Agricultural Sciences,Plant Sciences,University of Florida,Plant Molecular and Cellular Biology,3.1%,82.4%,0%,33.3%,46.7%
20013420,Agricultural Sciences,Plant Sciences,University of Florida,Plant Pathology,3.4%,13.8%,0%,45.8%,41.7%
20019550,Agricultural Sciences,Plant Sciences,University of Georgia,Agronomy,0%,4%,0%,17.6%,58.8%
20019783,Agricultural Sciences,Plant Sciences,University of Georgia,Horticulture,5.9%,20%,0%,20%,60%
20019916,Agricultural Sciences,Plant Sciences,University of Georgia,Plant Biology,0%,28.6%,4.8%,57.8%,46.7%
20019929,Agricultural Sciences,Plant Sciences,University of Georgia,Plant Pathology,0%,10.5%,25%,42.9%,42.9%
20014681,Agricultural Sciences,Plant Sciences,University of Hawaii At Manoa,Botany,0%,30.8%,0%,40.6%,25%
20067683,Agricultural Sciences,Plant Sciences,University of Idaho,Plant Science,3.7%,18.5%,18.8%,23.1%,38.5%
20014953,Agricultural Sciences,Plant Sciences,University of Hawaii At Manoa,Tropical Plant & Soil Sciences,6.3%,20%,16.7%,52.2%,73.9%
20038832,Agricultural Sciences,Plant Sciences,University of Illinois At Urbana-Champaign,Biology-Physiological and Molecular Plant Biology,5.3%,26.3%,8.3%,44.4%,33.3%
20038942,Agricultural Sciences,Plant Sciences,University of Illinois At Urbana-Champaign,Crop Sciences,9.4%,12.1%,0%,29.2%,50%
20039190,Agricultural Sciences,Plant Sciences,University of Illinois At Urbana-Champaign,Natural Resources and Environmental Science,2.4%,14.6%,0%,41.7%,48.6%
20039268,Agricultural Sciences,Plant Sciences,University of Illinois At Urbana-Champaign,Plant Biology,0%,23.8%,0%,42.9%,35.7%
20028156,Agricultural Sciences,Plant Sciences,University of Kentucky,Crop Science,0%,6.7%,0%,50%,35.7%
20028392,Agricultural Sciences,Plant Sciences,University of Kentucky,Plant Pathology,0%,9.1%,5.9%,64.7%,64.7%
20028402,Agricultural Sciences,Plant Sciences,University of Kentucky,Plant Physiology,0%,7.7%,0%,66.7%,77.8%
20050409,Agricultural Sciences,Plant Sciences,University of Maryland College Park,Natural Resource Sciences,4.2%,12.5%,0%,73.7%,47.4%
20048136,Agricultural Sciences,Plant Sciences,University of Massachusetts Amherst,Plant and Soil Sciences,0%,15.8%,0%,31.3%,56.3%
20048123,Agricultural Sciences,Plant Sciences,University of Massachusetts Amherst,Plant Biology,15.4%,57.1%,25%,53.8%,38.5%
20039624,Agricultural Sciences,Plant Sciences,University of Minnesota-Twin Cities,Applied Plant Sciences,0%,18.4%,0%,56.5%,34.8%
20040202,Agricultural Sciences,Plant Sciences,University of Minnesota-Twin Cities,Plant Biological Sciences,2.6%,35.7%,5%,46.5%,44.2%
20040215,Agricultural Sciences,Plant Sciences,University of Minnesota-Twin Cities,Plant Pathology,6.3%,27.8%,0%,30%,40%
20025544,Agricultural Sciences,Plant Sciences,University of Missouri - Columbia,"Plant, Insect and Microbial Sciences",0%,15.2%,7.7%,45.2%,61.9%
20017125,Agricultural Sciences,Plant Sciences,University of Nebraska - Lincoln,Agronomy,2.5%,10%,25%,32.4%,58.8%
20017138,Agricultural Sciences,Plant Sciences,University of Nebraska - Lincoln,Plant Systems Biology,5.9%,23.5%,33.3%,66.7%,66.7%
20050700,Agricultural Sciences,Plant Sciences,University of New Hampshire,Plant Biology,0%,23.1%,0%,62.5%,50%
20045980,Agricultural Sciences,Plant Sciences,University of Tennessee,"Plants, Soils, and Insects",0%,11.1%,0%,9.5%,33.3%
20061809,Agricultural Sciences,Plant Sciences,University of Texas At Austin,Plant Biology,9.1%,22.7%,15.4%,66.7%,0%
20030296,Agricultural Sciences,Plant Sciences,University of Wisconsin-Madison,Agronomy,0%,16.7%,0%,37.5%,12.5%
20030403,Agricultural Sciences,Plant Sciences,University of Wisconsin-Madison,Botany,12.5%,41.2%,2.9%,65.9%,12.2%
20030720,Agricultural Sciences,Plant Sciences,University of Wisconsin-Madison,Horticulture,0%,21.4%,0%,42.9%,0%
20030995,Agricultural Sciences,Plant Sciences,University of Wisconsin-Madison,Plant Breeding and Plant Genetics,0%,9.5%,6.7%,50%,52.9%
20031004,Agricultural Sciences,Plant Sciences,University of Wisconsin-Madison,Plant Pathology,0%,41.2%,5.6%,60%,33.3%
20024723,Agricultural Sciences,Plant Sciences,University of Wyoming,Plant Science,10%,9.1%,0%,28.6%,33.3%
20062743,Agricultural Sciences,Plant Sciences,Utah State University,Plant Science (AG),0%,23.5%,0%,0%,0%
20044486,Agricultural Sciences,Plant Sciences,Virginia Polytechnic Institute And State University,Crop and Soil Environmental Sciences,3.2%,9.4%,0%,18.2%,9.1%
20044606,Agricultural Sciences,Plant Sciences,Virginia Polytechnic Institute And State University,Horticulture,5.6%,16.7%,0%,40%,40%
20044703,Agricultural Sciences,Plant Sciences,Virginia Polytechnic Institute And State University,"Plant Pathology, Physiology and Weed Science",0%,24%,25%,41.7%,66.7%
20058333,Agricultural Sciences,Plant Sciences,Washington State University,Botany,0%,17.2%,0%,33.3%,20.8%
20058388,Agricultural Sciences,Plant Sciences,Washington State University,Crop Science,0%,20%,0%,44.4%,55.6%
20058498,Agricultural Sciences,Plant Sciences,Washington State University,Horticulture,0%,29.2%,0%,50%,50%
20058537,Agricultural Sciences,Plant Sciences,Washington State University,Molecular Plant Sciences,0%,25%,0%,45.5%,50%
20058566,Agricultural Sciences,Plant Sciences,Washington State University,Plant Pathology,0%,22.2%,0%,46.7%,66.7%
20070010,Agricultural Sciences,Plant Sciences,Washington University In St. Louis,Plant Biology,8.3%,23.1%,0%,45.8%,29.2%
20026433,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Baylor College of Medicine,Biochemistry and Molecular Biology,0%,20%,28.6%,43.8%,56.3%
20026556,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Baylor College of Medicine,Structural & Computational Biology & Molecular Biophysics,15%,12.5%,9.5%,25%,52.3%
20059031,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Boston University,"Biochemistry, Biophysics & Molecular Bio, Sch of Medicine",4.2%,31%,7.4%,47.5%,45.8%
20059248,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Boston University,Molecular Bio/Cell Bio/Biochem-Grad Sch of Arts & Sci,0%,23.8%,11.1%,51.2%,14.6%
20034755,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Bowling Green State University,Biological Sciences,3.7%,29.6%,4.5%,50%,53.2%
20025007,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Brandeis University,Biochemistry,0%,44.4%,6.3%,56%,20%
20025010,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Brandeis University,Biophysics and Structural Biology,0%,45.5%,0%,33.3%,33.3%
20032919,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",California Institute of Technology,Biochemistry and Molecular Biophysics,3.2%,25.8%,6.4%,35.1%,17.5%
20019055,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Case Western Reserve University,Biochemistry,2.8%,11.1%,5%,42.6%,59.3%
20019204,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Case Western Reserve University,Molecular Biology and Microbiology,0%,27.3%,25%,43.8%,31.3%
20057020,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",City University of New York Grad. Center,Biochemistry,17.5%,42.3%,54.5%,55.7%,68.9%
20056254,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Colorado State University,Biochemistry,0%,33.3%,6.3%,51.9%,29.6%
20057431,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Columbia University In The City of New York,Biochemistry and Molecular Biophysics,0%,11.8%,0%,40.5%,37.8%
20015570,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Cornell University,"Biochemistry, Molecular & Cell Biology",0%,24%,12.1%,56%,25.6%
20065449,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Cornell University,Weill Graduate School of Medical Sciences - Biochemistry & Structural Biology,0%,33.3%,11.1%,38.9%,50%
20065481,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Cornell University,Weill Graduate School of Medical Sciences - Molecular Biology,0%,23.3%,9.1%,57.9%,39.5%
20027144,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Drexel University,Molecular Pathobiology,3.7%,13.8%,33.3%,50%,25%
20029838,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Duke University,Biochemistry,0%,18.5%,5.8%,41.8%,17.9%
20019356,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",George Washington University,Biochemistry and Molecular Genetics,9.5%,34.8%,5.3%,65.2%,15.2%
20022945,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Georgetown University,Biochemistry and Molecular Biology,15.8%,37.5%,5%,58.1%,35.5%
20051424,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Georgia State University,Biology-Molecular Genetics & Biochemistry,0%,58.3%,13.3%,70.5%,65.1%
20065876,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Harvard University,Biophysics,0%,11.1%,10%,30.2%,15.1%
20066231,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Harvard University,Molecular and Cellular Biology,0%,18.2%,9.8%,48.3%,30.2%
20025942,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Howard University,Biochemistry,54.5%,27.3%,100%,71.4%,0%
20046701,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Indiana University At Bloomington,Vision Science,3.5%,21.1%,0%,57.9%,78.9%
20048330,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Indiana University Purdue University Indianapolis,Biochemistry,0%,17.4%,13.3%,60.8%,41.2%
20048398,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Indiana University Purdue University Indianapolis,Medical Biophysics,0%,13%,0%,100%,0%
20016294,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Iowa State University,Biochemistry,4%,18.5%,0%,32%,72%
20056474,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Johns Hopkins University,Biochemistry and Molecular Biology,0%,35.7%,6.9%,63.6%,18.2%
20056487,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Johns Hopkins University,Biological Chemistry,0%,25%,2.2%,43.6%,78.2%
20056872,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Johns Hopkins University,Molecular and Computational Biophysics,29.4%,27.8%,5.9%,32.8%,20.3%
20028512,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Kansas State University,Biochemistry,0%,23.1%,0%,33.3%,85.7%
20040671,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Kent State University Main Campus,Biomedical Sciences - Cell/Molecular Biology,0%,100%,7.1%,60.6%,54.5%
20057978,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Louisiana State University And Agricultural And Mechanical College,Biochemistry,0%,24.1%,8.3%,39.3%,57.1%
20036575,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Loyola University Chicago,Molecular Biology,0%,19.4%,16.7%,52.4%,70%
