Program ID,Broad Field,Field,Institution Name,Program Name,Average Number of  PhDs Graduated (2002-2006),Percent of Interdisciplinary Faculty (2006),Average GRE Scores (2004-2006),"Percent of
First Year Students with External Fellowships (2005)",Is Student Work Space Provided?,Is Health Insurance Provided?,Number of Student Activities (Max=18)
20039637,Humanities,"History of Art, Architecture and Archaeology",University of Minnesota-Twin Cities,Art History,2,5.3%,546,0%,No,Yes,18
20015211,Humanities,"History of Art, Architecture and Archaeology",University of New Mexico Main Campus,Art History,2.4,0%,605,0%,No,Yes,14
20025201,Humanities,"History of Art, Architecture and Archaeology",University of Missouri - Columbia,Art History and Archaeology,1.6,0%,552,0%,No,Yes,16
20045087,Humanities,"History of Art, Architecture and Archaeology",University of North Carolina At Chapel Hill,Art History,4.4,44.4%,636,0%,Yes,Yes,18
20036957,Humanities,"History of Art, Architecture and Archaeology",University of Pennsylvania,History of Art,6.4,7.1%,632,0%,Yes,Yes,18
20049737,Humanities,"History of Art, Architecture and Archaeology",University of Pittsburgh Pittsburgh Campus,History of Art and Architecture,2.6,23.8%,579,0%,Yes,Yes,18
20067971,Humanities,"History of Art, Architecture and Archaeology",University of Southern California,Art History,2.4,10%,675,0%,No,Yes,17
20061320,Humanities,"History of Art, Architecture and Archaeology",University of Texas At Austin,Art History,6.2,0%,603,0%,Yes,Yes,18
20056076,Humanities,"History of Art, Architecture and Archaeology",University of Texas At Dallas,Aesthetic Studies,1.6,0%,605,50%,No,Yes,15
20023300,Humanities,"History of Art, Architecture and Archaeology",University of Virginia,History of Art,5.4,4.3%,626,0%,Yes,Yes,18
20030322,Humanities,"History of Art, Architecture and Archaeology",University of Wisconsin-Madison,Art History,2.2,0%,603,100%,No,Yes,17
20069704,Humanities,"History of Art, Architecture and Archaeology",Washington University In St. Louis,Art History and Archaeology,1.2,50%,614,0%,Yes,Yes,17
20017400,Humanities,"History of Art, Architecture and Archaeology",Virginia Commonwealth University,Art History,2.8,0%,546,0%,No,No,17
20026585,Humanities,"History of Art, Architecture and Archaeology",University of Wisconsin-Milwaukee,Architecture,2.6,0%,558,10%,Yes,Yes,17
20063551,Humanities,"History of Art, Architecture and Archaeology",Yale University,History of Art,8.8,22.2%,678,9.1%,Yes,Yes,18
20059442,Humanities,"History of Art, Architecture and Archaeology",University of Washington,Art History,2,62.1%,550,0%,No,Yes,18
20025117,Humanities,"Languages, Societies and Cultures",Brandeis University,Near Eastern and Judaic Studies,4.8,27.6%,N/D,0%,No,Yes,17
20018373,Humanities,"Languages, Societies and Cultures",Brown University,Italian Studies,1.4,64.3%,N/D,0%,Yes,Yes,18
20049009,Humanities,"Languages, Societies and Cultures",Bryn Mawr College,Russian,1.8,0%,473,0%,Yes,Yes,10
20018496,Humanities,"Languages, Societies and Cultures",Brown University,Slavic Studies,2.2,40%,N/D,N/D,No,Yes,18
20057583,Humanities,"Languages, Societies and Cultures",Columbia University In The City of New York,East Asian Languages and Cultures,6.2,5.6%,645,30.8%,No,Yes,16
20057703,Humanities,"Languages, Societies and Cultures",Columbia University In The City of New York,Italian,1.6,16.7%,586,0%,No,Yes,16
20057758,Humanities,"Languages, Societies and Cultures",Columbia University In The City of New York,Middle East and Asian Languages And Cultures,3.6,6.3%,576,22.2%,No,Yes,16
20057871,Humanities,"Languages, Societies and Cultures",Columbia University In The City of New York,Slavic Languages,2,0%,720,0%,No,Yes,16
20015716,Humanities,"Languages, Societies and Cultures",Cornell University,East Asian Literature,1.2,0%,590,0%,No,Yes,17
20070890,Humanities,"Languages, Societies and Cultures",Cornell University,Medieval Studies,1.6,11.8%,681,0%,No,Yes,17
20065902,Humanities,"Languages, Societies and Cultures",Harvard University,Celtic Language and Literature,1.6,63.6%,708,0%,No,Yes,16
20066024,Humanities,"Languages, Societies and Cultures",Harvard University,East Asian Lang. & Civ.,7.4,3.7%,688,28.6%,No,Yes,16
20066147,Humanities,"Languages, Societies and Cultures",Harvard University,Inner Asian & Altaic Studies,1,26.3%,645,0%,No,Yes,16
20066228,Humanities,"Languages, Societies and Cultures",Harvard University,Middle Eastern Studies,4.8,44.4%,614,33.3%,Yes,Yes,16
20066257,Humanities,"Languages, Societies and Cultures",Harvard University,Near Eastern Languages and Civilizations,5.8,N/D,718,0%,No,Yes,
20066422,Humanities,"Languages, Societies and Cultures",Harvard University,Sanskrit and Indian Studies,2,25%,638,50%,Yes,Yes,16
20066435,Humanities,"Languages, Societies and Cultures",Harvard University,Slavic Languages and Literature,2,8.3%,612,0%,Yes,Yes,17
20046196,Humanities,"Languages, Societies and Cultures",Indiana University At Bloomington,Central Eurasian Studies,1.8,45.2%,N/D,0%,No,Yes,14
20046219,Humanities,"Languages, Societies and Cultures",Indiana University At Bloomington,Chinese,1.2,37.5%,642,0%,No,Yes,15
20046442,Humanities,"Languages, Societies and Cultures",Indiana University At Bloomington,Italian,1,57.1%,536,0%,No,Yes,18
20046455,Humanities,"Languages, Societies and Cultures",Indiana University At Bloomington,Japanese,1,38.9%,610,0%,No,Yes,14
20046549,Humanities,"Languages, Societies and Cultures",Indiana University At Bloomington,Near Eastern Languages & Cultures,1.2,65%,594,0%,No,Yes,17
20046659,Humanities,"Languages, Societies and Cultures",Indiana University At Bloomington,Slavic Languages & Literature,1.4,35.7%,464,50%,Yes,Yes,18
20056814,Humanities,"Languages, Societies and Cultures",Johns Hopkins University,Italian,1.2,0%,510,33.3%,Yes,Yes,18
20056885,Humanities,"Languages, Societies and Cultures",Johns Hopkins University,Near Eastern Studies,3.6,0%,668,0%,Yes,Yes,16
20064343,Humanities,"Languages, Societies and Cultures",New York University,Hebrew and Judaic Studies,5.4,28.6%,622,87.5%,Yes,Yes,17
20064372,Humanities,"Languages, Societies and Cultures",New York University,Institute for French Studies,1.8,80%,629,0%,Yes,Yes,17
20064385,Humanities,"Languages, Societies and Cultures",New York University,Italian Studies,1.4,0%,607,0%,Yes,Yes,18
20064437,Humanities,"Languages, Societies and Cultures",New York University,Middle Eastern and Islamic Studies,2,11.8%,631,0%,No,Yes,17
20064550,Humanities,"Languages, Societies and Cultures",New York University,Program in History & Middle Eastern Studies,1.6,50%,601,0%,Yes,Yes,17
20069076,Humanities,"Languages, Societies and Cultures",Northwestern University,Slavic Languages and Literatures,1.2,9.1%,596,0%,Yes,Yes,15
20028910,Humanities,"Languages, Societies and Cultures",Ohio State University Main Campus,East Asian Languages and Literatures,2.4,25.9%,611,0%,Yes,Yes,18
20029333,Humanities,"Languages, Societies and Cultures",Ohio State University Main Campus,Slavic and East European Languages and Literatures,2.4,0%,496,0%,No,Yes,18
20032469,Humanities,"Languages, Societies and Cultures",Princeton University,East Asian Studies,2.4,22.2%,603,0%,Yes,Yes,15
20032605,Humanities,"Languages, Societies and Cultures",Princeton University,Near Eastern Studies,4.4,41.2%,596,25%,No,Yes,14
20032689,Humanities,"Languages, Societies and Cultures",Princeton University,Slavic  Languages and  Literatures,1.8,30.8%,650,0%,No,Yes,14
20012612,Humanities,"Languages, Societies and Cultures",Rutgers The State University of New Jersey New Brunswick Campus,Italian,2.8,0%,558,0%,No,Yes,17
20052685,Humanities,"Languages, Societies and Cultures",Stanford University,Japanese,2,33.3%,677,0%,No,Yes,16
20052753,Humanities,"Languages, Societies and Cultures",Stanford University,Modern Thought and Literature,3,77.4%,677,50%,No,Yes,16
20052876,Humanities,"Languages, Societies and Cultures",Stanford University,Slavic Languages and Literatures,1,0%,676,0%,Yes,Yes,17
20033934,Humanities,"Languages, Societies and Cultures",University of Arizona,East Asian Studies,2.8,35%,N/D,0%,No,Yes,17
20060839,Humanities,"Languages, Societies and Cultures",University of California-Berkeley,East Asian Languages and Cultures,3,6.7%,668,0%,Yes,Yes,18
20061032,Humanities,"Languages, Societies and Cultures",University of California-Berkeley,Italian Studies,1.4,12.5%,N/D,0%,No,Yes,18
20061113,Humanities,"Languages, Societies and Cultures",University of California-Berkeley,Near Eastern Studies,3.4,6.7%,572,0%,No,Yes,18
20061210,Humanities,"Languages, Societies and Cultures",University of California-Berkeley,Scandinavian Languages and Literatures,1.8,0%,N/D,50%,No,Yes,18
20061223,Humanities,"Languages, Societies and Cultures",University of California-Berkeley,Slavic Languages and Literatures,2,8.3%,653,100%,No,Yes,18
20061249,Humanities,"Languages, Societies and Cultures",University of California-Berkeley,South and Southeast Asian Studies,1.6,36.4%,649,0%,Yes,Yes,18
20053066,Humanities,"Languages, Societies and Cultures",University of California-Los Angeles,Asian Languages and Cultures,3.8,27.3%,580,66.7%,No,Yes,17
20053419,Humanities,"Languages, Societies and Cultures",University of California-Los Angeles,Islamic Studies,1.2,0%,433,20%,No,Yes,13
20053422,Humanities,"Languages, Societies and Cultures",University of California-Los Angeles,Italian,2,12.5%,561,50%,No,Yes,17
20053516,Humanities,"Languages, Societies and Cultures",University of California-Los Angeles,Near Eastern Languages and Cultures,3.2,0%,624,16.7%,No,Yes,13
20053590,Humanities,"Languages, Societies and Cultures",University of California-Los Angeles,Slavic Languages and Literatures,2.4,37.5%,568,0%,No,Yes,17
20014322,Humanities,"Languages, Societies and Cultures",University of Chicago,East Asian Languages and Literatures,3,57.1%,657,12.5%,No,Yes,16
20014487,Humanities,"Languages, Societies and Cultures",University of Chicago,Near Eastern Languages & Civilizations,6.2,21.7%,629,4%,No,Yes,15
20014607,Humanities,"Languages, Societies and Cultures",University of Chicago,Slavic Languages and Literatures,2.2,20%,623,16.7%,No,Yes,16
20014636,Humanities,"Languages, Societies and Cultures",University of Chicago,South Asian Languages and Civilizations,2.6,0%,630,33.3%,No,Yes,18
20019974,Humanities,"Languages, Societies and Cultures",University of Georgia,Romance Languages,3.6,0%,482,0%,Yes,Yes,18
20014717,Humanities,"Languages, Societies and Cultures",University of Hawaii At Manoa,East Asian Languages & Literatures,4.2,4.5%,473,0%,No,Yes,16
20043089,Humanities,"Languages, Societies and Cultures",University of Illinois At Chicago,Slavic Languages & Literature,1,0%,N/D,20%,Yes,Yes,16
20039307,Humanities,"Languages, Societies and Cultures",University of Illinois At Urbana-Champaign,Slavic Language and Literature,1,10%,N/D,0%,Yes,Yes,14
20035178,Humanities,"Languages, Societies and Cultures",University of Michigan-Ann Arbor,Asian Languages and Cultures,2.4,41.9%,702,0%,Yes,Yes,18
20051356,Humanities,"Languages, Societies and Cultures",University of Kansas,Slavic Languages and Literatures,1.4,0%,575,0%,No,No,17
20035673,Humanities,"Languages, Societies and Cultures",University of Michigan-Ann Arbor,Near Eastern Studies,2.8,45.2%,661,0%,No,Yes,18
20035819,Humanities,"Languages, Societies and Cultures",University of Michigan-Ann Arbor,Slavic Languages and Literatures,2,60%,590,0%,Yes,Yes,18
20025573,Humanities,"Languages, Societies and Cultures",University of Missouri - Columbia,Romance Languages,2.8,0%,N/D,0%,Yes,Yes,17
20045579,Humanities,"Languages, Societies and Cultures",University of North Carolina At Chapel Hill,Slavic Languages and Literatures,1,50%,616,0%,Yes,Yes,18
20070654,Humanities,"Languages, Societies and Cultures",University of North Carolina At Chapel Hill,Romance Languages - Italian,2.2,0%,580,0%,Yes,Yes,18
20043869,Humanities,"Languages, Societies and Cultures",University of Oregon,East Asian Languages and Literatures,2.6,16.7%,560,0%,Yes,Yes,13
20044004,Humanities,"Languages, Societies and Cultures",University of Oregon,Romance Languages,4.2,5%,660,0%,Yes,Yes,14
20036889,Humanities,"Languages, Societies and Cultures",University of Pennsylvania,East Asian Languages and Cultures,1.6,0%,614,75%,Yes,Yes,18
20036960,Humanities,"Languages, Societies and Cultures",University of Pennsylvania,Italian,1.2,0%,657,N/D,Yes,Yes,18
20037037,Humanities,"Languages, Societies and Cultures",University of Pennsylvania,Near Eastern Languages and Cultures,2.6,0%,659,0%,No,Yes,18
20068417,Humanities,"Languages, Societies and Cultures",University of Southern California,Slavic Languages and Literatures,2.2,0%,498,0%,No,Yes,17
20061333,Humanities,"Languages, Societies and Cultures",University of Texas At Austin,Asian Cultures and Languages,1.2,12.5%,616,40%,No,Yes,18
20061634,Humanities,"Languages, Societies and Cultures",University of Texas At Austin,Latin American Studies,1,20%,530,0%,No,Yes,18
20061841,Humanities,"Languages, Societies and Cultures",University of Texas At Austin,Slavic Languages and Literatures,1,52.2%,552,0%,No,Yes,17
20047616,Humanities,"Languages, Societies and Cultures",University of Utah,Languages and Literature,3.6,16%,N/D,0%,No,Yes,16
20047687,Humanities,"Languages, Societies and Cultures",University of Utah,Middle Eastern Studies,1.2,36.8%,443,50%,No,Yes,15
20023368,Humanities,"Languages, Societies and Cultures",University of Virginia,Slavic Languages & Literatures,1,0%,505,0%,Yes,Yes,17
20059455,Humanities,"Languages, Societies and Cultures",University of Washington,Asian Languages and Literature,1.2,37.5%,621,0%,No,Yes,18
20059837,Humanities,"Languages, Societies and Cultures",University of Washington,Near and Middle Eastern Studies,1.4,66.7%,618,0%,No,Yes,18
20060004,Humanities,"Languages, Societies and Cultures",University of Washington,Scandinavian Studies,2,31.3%,666,0%,No,Yes,17
20030270,Humanities,"Languages, Societies and Cultures",University of Wisconsin-Madison,African Languages and Literature,1.2,0%,473,N/D,No,Yes,17
20030445,Humanities,"Languages, Societies and Cultures",University of Wisconsin-Madison,Chinese,1.8,33.3%,N/D,0%,Yes,Yes,17
20030694,Humanities,"Languages, Societies and Cultures",University of Wisconsin-Madison,Hebrew and Semitic Studies,1.6,0%,682,0%,Yes,Yes,17
20030746,Humanities,"Languages, Societies and Cultures",University of Wisconsin-Madison,Italian,2.2,63.2%,N/D,0%,Yes,Yes,17
20030775,Humanities,"Languages, Societies and Cultures",University of Wisconsin-Madison,Languages and Cultures of Asia,4,0%,N/D,0%,No,Yes,17
20031046,Humanities,"Languages, Societies and Cultures",University of Wisconsin-Madison,Slavic Languages and Literatures,1.2,0%,608,25%,No,Yes,18
20021603,Humanities,"Languages, Societies and Cultures",Wayne State University,Modern Languages,2.6,0%,N/D,0%,No,Yes,17
